X Y
-1 -0.785398163397448279
-0.98999999999999999112 -0.78037308006663586024
-0.97999999999999998224 -0.77529749681212634105
-0.96999999999999997335 -0.77017091402033099889
-0.95999999999999996447 -0.76499283271091023106
-0.94999999999999995559 -0.75976275487577082934
-0.93999999999999994671 -0.75448018383440562662
-0.92999999999999993783 -0.74914462460601716209
-0.91999999999999992895 -0.74375558429885979539
-0.90999999999999992006 -0.73831257251722792745
-0.89999999999999991118 -0.73281510178650655085
-0.8899999999999999023 -0.72726268799669024911
-0.87999999999999989342 -0.72165485086476122145
-0.86999999999999988454 -0.71599111441630014507
-0.85999999999999987566 -0.7102710074866861456
-0.84999999999999986677 -0.70449406424221761025
-0.83999999999999985789 -0.69865982472146315185
-0.82999999999999984901 -0.69276783539712216697
-0.81999999999999984013 -0.68681764975864512124
-0.80999999999999983125 -0.68080882891582739092
-0.79999999999999982236 -0.67474094222355252004
-0.78999999999999981348 -0.6686135679278207844
-0.7799999999999998046 -0.66242629383315110303
-0.76999999999999979572 -0.65617871799139471101
-0.75999999999999978684 -0.64987044941194738179
-0.74999999999999977796 -0.64350110879328425995
-0.73999999999999976907 -0.6370703292756834113
-0.72999999999999976019 -0.63057775721493469767
-0.71999999999999975131 -0.62402305297675664253
-0.70999999999999974243 -0.61740589175157245538
-0.69999999999999973355 -0.6107259643892084533
-0.68999999999999972466 -0.60398297825299773756
-0.67999999999999971578 -0.59717665809267739263
-0.6699999999999997069 -0.59030674693537177333
-0.65999999999999969802 -0.5833730069938557472
-0.64999999999999968914 -0.57637522059118351248
-0.63999999999999968026 -0.56931319110066169742
-0.62999999999999967137 -0.56218674390002898456
-0.61999999999999966249 -0.55499572733858648643
-0.60999999999999965361 -0.54774001371590219645
-0.59999999999999964473 -0.54041950027058394124
-0.58999999999999963585 -0.53303411017748980605
-0.57999999999999962697 -0.52558379355160989022
-0.56999999999999961808 -0.51806852845672068941
-0.5599999999999996092 -0.51048832191677551151
-0.54999999999999960032 -0.50284321092786055107
-0.53999999999999959144 -0.49513326346840380587
-0.52999999999999958256 -0.4873585795051899594
-0.51999999999999957367 -0.4795192919925957975
-0.50999999999999956479 -0.47161556786232733396
-0.49999999999999955591 -0.46364760900080576045
-0.48999999999999954703 -0.4556156532112241031
-0.47999999999999953815 -0.44751997515716951392
-0.46999999999999952927 -0.43936088728459105068
-0.45999999999999952038 -0.43113874071878177663
-0.4499999999999995115 -0.4228539261329403165
-0.43999999999999950262 -0.41450687458478552294
-0.42999999999999949374 -0.4060980583176151959
-0.41999999999999948486 -0.39762799152212885412
-0.40999999999999947597 -0.38909723105527799225
-0.39999999999999946709 -0.3805063771123644023
-0.38999999999999945821 -0.3718560738485807704
-0.37999999999999944933 -0.36314700994617582497
-0.36999999999999944045 -0.35437991912343730361
-0.35999999999999943157 -0.34555558058171165214
-0.34999999999999942268 -0.33667481938672666475
-0.3399999999999994138 -0.32773850678055493901
-0.32999999999999940492 -0.31874756042064389394
-0.31999999999999939604 -0.30970294454245567151
-0.30999999999999938716 -0.30060567004239485689
-0.29999999999999937828 -0.29145679447786654315
-0.28999999999999936939 -0.28225742198149056383
-0.27999999999999936051 -0.27300870308670999176
-0.26999999999999935163 -0.26371183446226553748
-0.25999999999999934275 -0.25436805855326533043
-0.24999999999999933387 -0.24497866312686353285
-0.23999999999999932498 -0.23554498072086269
-0.2299999999999993161 -0.226068387993883263
-0.21999999999999930722 -0.21655030497608862561
-0.20999999999999929834 -0.20699219421982034683
-0.19999999999999928946 -0.19739555984988008119
-0.18999999999999928058 -0.18776194651359270904
-0.17999999999999927169 -0.17809293823119684563
-0.16999999999999926281 -0.16839015714752916808
-0.15999999999999925393 -0.15865526218640066403
-0.14999999999999924505 -0.14888994760949650353
-0.13999999999999923617 -0.13909594148207057862
-0.12999999999999922728 -0.12927500404814229462
-0.11999999999999923228 -0.11942892601833769717
-0.10999999999999923728 -0.10955952677394359407
-0.099999999999999242273 -0.099668652491161274787
-0.089999999999999247269 -0.089758174189949774258
-0.079999999999999252265 -0.079829985712236567474
-0.069999999999999257261 -0.069886001634641758962
-0.059999999999999255318 -0.059928155121207145328
-0.049999999999999253375 -0.049958395721942015777
-0.039999999999999251432 -0.039978687123289294303
-0.029999999999999249489 -0.029991004856877150758
-0.019999999999999247546 -0.01999733397314978206
-0.0099999999999992473382 -0.0099996666866644847577
7.5286998857393427897e-16 7.5286998857393427897e-16
0.010000000000000753078 0.0099996666866659904976
0.020000000000000753286 0.0199973339731512878
0.030000000000000755229 0.029991004856878653029
0.040000000000000757172 0.039978687123290800043
0.050000000000000759115 0.049958395721943521517
0.060000000000000761058 0.059928155121208644129
0.070000000000000756062 0.069886001634643257763
0.080000000000000751066 0.079829985712238066276
0.09000000000000074607 0.089758174189951259181
0.10000000000000074107 0.09966865249116275971
0.11000000000000073608 0.10955952677394506511
0.12000000000000073108 0.11942892601833916821
0.13000000000000072609 0.12927500404814376567
0.14000000000000073497 0.13909594148207204967
0.15000000000000074385 0.14888994760949797458
0.16000000000000075273 0.15865526218640213507
0.17000000000000076161 0.16839015714753063913
0.18000000000000077049 0.17809293823119828892
0.19000000000000077938 0.18776194651359418009
0.20000000000000078826 0.19739555984988152448
0.21000000000000079714 0.20699219421982179012
0.22000000000000080602 0.21655030497609004114
0.2300000000000008149 0.22606838799388467853
0.24000000000000082379 0.23554498072086413329
0.25000000000000083267 0.24497866312686494839
0.26000000000000084155 0.25436805855326671821
0.27000000000000085043 0.26371183446226692526
0.28000000000000085931 0.27300870308671137954
0.29000000000000086819 0.2822574219814918961
0.30000000000000087708 0.29145679447786787541
0.31000000000000088596 0.30060567004239618916
